# Date	dTime (d)	Depth GWT (cm)	Precipitation (mm)	NetRadiation (W/m2)	Air Temperature (Celsius - 175 cm)	Relative Humidity (-)	Wind Speed (m/s)
12/10/2014 22:00	0.0416666666667	-108.208	0.0	-4.2	14.3	100.0	0.87
12/10/2014 23:00	0.0833333333333	-108.254	0.0	-3.3	14.44	100.0	0.37
13/10/2014 00:00	0.125	-108.368	0.0	-36.6	13.3	100.0	0.55
13/10/2014 01:00	0.166666666667	-108.611	0.0	-28.9	12.93	100.0	0.7
13/10/2014 02:00	0.208333333333	-108.406	0.0	-6.5	13.28	100.0	0.53
13/10/2014 03:00	0.25	-108.35	0.0	-34.3	12.72	100.0	0.72
13/10/2014 04:00	0.291666666667	-108.545	0.0	-32.8	14.02	100.0	0.93
13/10/2014 05:00	0.333333333333	-108.673	0.0	-20.1	14.17	100.0	1.32
13/10/2014 06:00	0.375	-108.43	0.0	-40.4	14.31	100.0	1.65
13/10/2014 07:00	0.416666666667	-107.693	0.0	-7.6	14.89	98.57	1.97
13/10/2014 08:00	0.458333333333	-106.528	0.0	0.4	15.9	91.31	1.8
13/10/2014 09:00	0.5	-106.456	0.0	18.9	16.41	88.27	2.01
13/10/2014 10:00	0.541666666667	-106.646	0.0	12.1	16.72	86.46	2.52
13/10/2014 11:00	0.583333333333	-106.409	0.0	67.1	17.04	85.47	2.15
13/10/2014 12:00	0.625	-106.238	0.0	176.0	18.53	76.44	2.91
13/10/2014 13:00	0.666666666667	-106.167	0.0	140.8	17.87	76.14	2.51
13/10/2014 14:00	0.708333333333	-106.086	0.0	63.8	17.74	73.8	2.94
13/10/2014 15:00	0.75	-106.413	0.0	94.4	19.51	68.34	2.32
13/10/2014 16:00	0.791666666667	-106.327	0.0	3.3	16.97	78.92	1.61
13/10/2014 17:00	0.833333333333	-106.167	0.0	-49.1	15.93	78.16	2.66
13/10/2014 18:00	0.875	-106.5	0.0	-44.7	13.32	87.09	1.38
13/10/2014 19:00	0.916666666667	-106.347	0.0	-48.6	14.23	80.6	2.2
13/10/2014 20:00	0.958333333333	-106.705	0.0	-52.4	13.22	84.22	1.94
13/10/2014 21:00	1.0	-106.377	0.0	-42.6	12.29	88.83	1.15
13/10/2014 22:00	1.04166666667	-106.146	0.0	-50.3	11.37	92.94	1.16
13/10/2014 23:00	1.08333333333	-106.631	0.0	-50.3	11.37	93.09	1.21
14/10/2014 00:00	1.125	-106.438	0.0	-50.6	10.99	94.72	1.18
14/10/2014 01:00	1.16666666667	-105.971	0.0	-42.1	11.09	93.64	1.2
14/10/2014 02:00	1.20833333333	-106.086	0.0	-26.0	11.7	90.96	1.55
14/10/2014 03:00	1.25	-106.131	0.0	-9.5	12.41	87.46	1.89
14/10/2014 04:00	1.29166666667	-106.058	0.0	-18.3	12.33	87.86	2.36
14/10/2014 05:00	1.33333333333	-106.078	0.0	-21.3	11.65	90.52	2.13
