# Date	dTime (d)	Depth GWT (cm)	Precipitation (mm)	NetRadiation (W/m2)	Air Temperature (Celsius - 175 cm)	Relative Humidity (-)	Wind Speed (m/s)
12/10/2014 22:00	0.041666667	-160.103	0	-4.2	14.3	100	0.87
12/10/2014 23:00	0.083333333	-159.434	0	-3.3	14.44	100	0.37
13/10/2014 00:00	0.125	-158.497	0	-36.6	13.3	100	0.55
13/10/2014 01:00	0.166666667	-158.071	0	-28.9	12.93	100	0.7
13/10/2014 02:00	0.208333333	-157.902	0	-6.5	13.28	100	0.53
13/10/2014 03:00	0.25	-157.58	0	-34.3	12.72	100	0.72
13/10/2014 04:00	0.291666667	-157.248	0	-32.8	14.02	100	0.93
13/10/2014 05:00	0.333333333	-157.49	0	-20.1	14.17	100	1.32
13/10/2014 06:00	0.375	-157.364	0	-40.4	14.31	100	1.65
13/10/2014 07:00	0.416666667	-157.564	0	-7.6	14.89	98.57	1.97
13/10/2014 08:00	0.458333333	-157.628	0	0.4	15.9	91.31	1.8
13/10/2014 09:00	0.5	-158.488	0	18.9	16.41	88.27	2.01
13/10/2014 10:00	0.541666667	-158.074	0	12.1	16.72	86.46	2.52
13/10/2014 11:00	0.583333333	-158.562	0	67.1	17.04	85.47	2.15
13/10/2014 12:00	0.625	-158.243	0	176	18.53	76.44	2.91
13/10/2014 13:00	0.666666667	-158.464	0	140.8	17.87	76.14	2.51
13/10/2014 14:00	0.708333333	-158.789	0	63.8	17.74	73.8	2.94
13/10/2014 15:00	0.75	-159.056	0	94.4	19.51	68.34	2.32
13/10/2014 16:00	0.791666667	-158.986	0	3.3	16.97	78.92	1.61
13/10/2014 17:00	0.833333333	-159.084	0	-49.1	15.93	78.16	2.66
13/10/2014 18:00	0.875	-159.256	0	-44.7	13.32	87.09	1.38
13/10/2014 19:00	0.916666667	-159.274	0	-48.6	14.23	80.6	2.2
13/10/2014 20:00	0.958333333	-159.394	0	-52.4	13.22	84.22	1.94
13/10/2014 21:00	1	-159.225	0	-42.6	12.29	88.83	1.15
13/10/2014 22:00	1.041666667	-159.179	0	-50.3	11.37	92.94	1.16
13/10/2014 23:00	1.083333333	-159.342	0	-50.3	11.37	93.09	1.21
14/10/2014 00:00	1.125	-159.563	0	-50.6	10.99	94.72	1.18
14/10/2014 01:00	1.166666667	-159.464	0	-42.1	11.09	93.64	1.2
14/10/2014 02:00	1.208333333	-159.919	0	-26	11.7	90.96	1.55
14/10/2014 03:00	1.25	-160.1	0	-9.5	12.41	87.46	1.89
14/10/2014 04:00	1.291666667	-160.275	0	-18.3	12.33	87.86	2.36
14/10/2014 05:00	1.333333333	-160.284	0	-21.3	11.65	90.52	2.13
14/10/2014 06:00	1.375	-159.879	0	-5.6	11.91	90.37	1.71
14/10/2014 07:00	1.416666667	-160.124	0	-6.3	12.2	91	1.82
14/10/2014 08:00	1.458333333	-160.37	0	45.1	12.72	89.35	2
14/10/2014 09:00	1.5	-160.769	0	81.5	13.38	87.19	2.37
14/10/2014 10:00	1.541666667	-161.003	0	79.4	14.03	86.83	2.49
14/10/2014 11:00	1.583333333	-161.475	0	127.5	15.14	83.41	2.97
14/10/2014 12:00	1.625	-161.491	0	139.9	15.88	82.06	2.33
14/10/2014 13:00	1.666666667	-161.5	0	128.5	16.4	81	2.29
14/10/2014 14:00	1.708333333	-161.841	0	100.8	16.83	78.87	2.3
14/10/2014 15:00	1.75	-161.463	0	31.9	16.01	82.86	1.98
14/10/2014 16:00	1.791666667	-161.451	0	-28.5	15.44	87.17	1.23
14/10/2014 17:00	1.833333333	-161.313	0	-15.4	14.77	90.19	1.81
14/10/2014 18:00	1.875	-161.15	0	-15.7	14.32	91.7	1.34
14/10/2014 19:00	1.916666667	-161.187	0	-23.9	14	93.56	1.67
14/10/2014 20:00	1.958333333	-161.162	0	-34.3	13.62	95.78	1.12
14/10/2014 21:00	2	-161.187	0	-15.9	13.61	94.54	1.12
14/10/2014 22:00	2.041666667	-161.079	0	-13.9	13.19	96.65	1.02
14/10/2014 23:00	2.083333333	-161.773	0	-22.7	13.09	96.73	1.01
15/10/2014 00:00	2.125	-161.58	0	-44	11.11	100	0.48
15/10/2014 01:00	2.166666667	-161.568	0	-12.6	11.3	100	0.91
15/10/2014 02:00	2.208333333	-161.549	0	-26.6	11.56	100	0.97
15/10/2014 03:00	2.25	-161.964	0	-9.7	12.05	100	0.46
15/10/2014 04:00	2.291666667	-161.617	0	-9.3	12.03	100	0.86
15/10/2014 05:00	2.333333333	-161.746	0	-15.1	11.88	100	0.53
15/10/2014 06:00	2.375	-161.356	0	-48.3	10.49	100	0.96
15/10/2014 07:00	2.416666667	-161.914	0	1.2	11.15	100	1.3
15/10/2014 08:00	2.458333333	-162.795	0	108	13.59	91.85	1.47
15/10/2014 09:00	2.5	-162.998	0	77.8	14.72	89.82	0.59
15/10/2014 10:00	2.541666667	-162.805	0	125.1	16.48	81.56	1.73
15/10/2014 11:00	2.583333333	-162.737	0	176.1	17.35	78.61	1.53
15/10/2014 12:00	2.625	-162.734	0	354.1	19.56	65.54	1.69
15/10/2014 13:00	2.666666667	-161.602	0	198.6	19.8	63.46	1.55
15/10/2014 14:00	2.708333333	-160.782	0	32.1	16.94	76.48	1.12
15/10/2014 15:00	2.75	-161.184	0.13	-29	15.69	83.54	0.79
15/10/2014 16:00	2.791666667	-161.503	0.24	-24.7	14.66	91.44	0.86
15/10/2014 17:00	2.833333333	-161.122	0.45	-13.5	13.49	99.96	0.02
15/10/2014 18:00	2.875	-161.156	0.07	-16.1	13.24	100	1.05
15/10/2014 19:00	2.916666667	-161.049	0	-22.8	12.98	100	1.09
15/10/2014 20:00	2.958333333	-161.254	0	-13.7	12.93	100	0.59
15/10/2014 21:00	3	-161.396	0	-12.6	13.5	100	0.41
15/10/2014 22:00	3.041666667	-161.687	0.04	-21.7	13.53	100	0.66
15/10/2014 23:00	3.083333333	-161.693	0.13	-5.7	14.07	100	0.98
16/10/2014 00:00	3.125	-161.408	0	-6.1	14.07	100	0.82
16/10/2014 01:00	3.166666667	-161.089	0	-26.6	13.91	100	1
16/10/2014 02:00	3.208333333	-160.868	2.47	-3.6	14.03	100	1.03
16/10/2014 03:00	3.25	-161.245	0.6	-3.2	14.17	100	1.09
16/10/2014 04:00	3.291666667	-157.748	0.1	-2	14.38	100	1.28
16/10/2014 05:00	3.333333333	-155.083	0	-10.9	14.4	100	1.19
16/10/2014 06:00	3.375	-152.983	0	-8.5	14.55	100	1.37
